# Каталог слайдов со страницы «Обложка» файла «Библиотека» (node 855:401), снято 2026-08-07
# файл	макет	тема	качество	комментарий
01__855-4071.png	cover	blue	clean	титул: логотип, заголовок, синие арки
03__855-4086.png	photo	light	clean	слева текст-лид, справа мокап ноутбука
05__855-4114.png	section-divider	blue	clean	название раздела внизу, пустой синий фон
06__855-4131.png	principle-detail	dark	clean	фиолетовая карточка миссии + две карточки справа
07__855-4150.png	benefits-grid	dark	clean	сетка 3×2 карточек ценностей с иконками
08__855-4217.png	section-divider	blue	clean	заголовок раздела внизу, пустой фон
09__855-4234.png	other	dark	clean	таймлайн дат слева, карта справа
1-cover__855-2529.png	cover	blue	clean	титул бренд-платформы с кнопкой Learn more
1-cover__855-2756.png	cover	dark	clean	тёмный титул с градиентом, RU-заголовок
1-cover__855-5632.png	cover	dark	clean	крупный слоган Travel enables growth
10__855-4495.png	section-divider	blue	clean	заголовок раздела внизу, пустой фон
11__855-450.png	title-bullets	dark	clean	две нумерованные карточки с буллетами, сердце
12__855-486.png	photo	light	clean	слева заголовок и CTA, справа мокапы
13__855-753.png	pain-solution	light	clean	Pain 1: белая и синяя карточки
14__855-804.png	pain-solution	light	clean	Pain 2: белая и синяя карточки
15__855-857.png	pain-solution	light	clean	Pain 3: белая и синяя карточки
16__855-908.png	pain-solution	light	clean	Pain 4: белая и синяя карточки
17__855-959.png	pain-solution	light	clean	Pain 5: белая и синяя карточки
18__855-1223.png	statement	blue	clean	заголовок + крупная фраза-манифест внизу
19__855-1243.png	other	blue	clean	две большие карточки Vision и Mission
20__855-678.png	photo	light	clean	мокап ноутбука с плашками принципов
21__855-716.png	title-bullets	light	clean	тумблер-заголовок, три колонки буллетов
22__855-1018.png	title-bullets	light	clean	тумблер-заголовок, три колонки буллетов
23__855-1057.png	title-bullets	light	clean	тумблер-заголовок, три колонки буллетов
24__855-1638.png	photo	light	clean	слева буллеты, справа крупный мокап
25__855-1130.png	title-bullets	light	clean	тумблер-заголовок, три колонки буллетов
26__855-1263.png	principle-detail	dark	clean	карточка с бейджами качеств + две карточки
27__855-1587.png	title-bullets	light	clean	иконки-буллеты слева, траектория с бейджами справа
28__855-1685.png	other	dark	clean	карта слева, четыре нумерованные карточки справа
29__855-1362.png	benefits-grid	light	clean	сетка выгод в карточке + фото с чатом
2__855-2768.png	other	dark	clean	карточки спикеров с фотографиями
30__855-1901.png	title-bullets	blue	clean	буллеты слева, каскад карточек-слоёв справа
31__855-1440.png	cover	blue	clean	титул: логотип и слоган на градиенте
34__855-1506.png	title-bullets	light	clean	заголовок, список клиентов, карточка логотипов
36__855-1454.png	benefits-grid	light	clean	2×2 карточки: валидация, логотипы медиа
37__855-1925.png	cover	blue	clean	дубль титульного слайда 31
38__855-1939.png	benefits-grid	light	clean	2×2 синие карточки услуг плюс боковая
41__855-1975.png	other	dark	clean	две нумерованные карточки с процентами и тегами
42__855-1092.png	title-bullets	light	clean	заголовок с тумблером, три колонки буллетов
43__855-1300.png	benefits-grid	dark	clean	карточки качеств бренда с бейджами
